Category,Description,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Protein,Sugar Total,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid
LINGCOD,"LINGCOD,RAW",0.0,52,0,0.0,85,17.66,0.0,81.03,0.35,0.3,0.197,1.06
LIPTON,"LIPTON,ALFREDO EGG NOODLES IN A CREAMY SAU,DRY MIX",62.4,112,0,0.0,418,15.5,0.0,4.9,3.856,1.244,4.57,11.8
LITCHIS,"LITCHIS,RAW",16.53,0,7,1.299999952,66,0.83,15.22999954,81.76,0.12,0.132,0.099,0.44
"LITTLE CAESARS 14"" CHS PIZZA","LITTLE CAESARS 14"" CHS PIZZA,LRG DEEP DISH CRUST",30.1,23,0,1.299999952,263,12.63,3.660000086,44.9,2.757,1.728,4.237,10.22
"LITTLE CAESARS 14"" ORIGINAL RND CHS PIZZA","LITTLE CAESARS 14"" ORIGINAL RND CHS PIZZA,REG CRUST",31.5,24,0,1.700000048,265,13.39,4.019999981,43.39,2.38,1.461,4.206,9.54
"LITTLE CAESARS 14"" ORIGINAL RND MEAT & VEG PIZZA","LITTLE CAESARS 14"" ORIGINAL RND MEAT & VEG PIZZA,REG CRUST",23.1,31,0,2.099999905,243,12.12,3.74000001,51.1,4.063,1.72,4.561,11.35
"LITTLE CAESARS 14"" ORIGINAL RND PEPPERONI PIZZA","LITTLE CAESARS 14"" ORIGINAL RND PEPPERONI PIZZA,REG CRUST",31.01,28,0,1.700000048,273,13.59,3.75999999,42.57,3.108,1.603,4.541,10.5
"LITTLE CAESARS 14"" PEPPERONI PIZZA","LITTLE CAESARS 14"" PEPPERONI PIZZA,LRG DEEP DISH CRUST",29.03,26,0,1.5,265,12.93,3.390000105,44.98,3.151,1.756,4.314,10.81
LIVER CHEESE,"LIVER CHEESE,PORK",2.1,174,0,0.0,304,15.2,0.0,53.6,12.26,3.42,8.96,25.6
LIVER SAUSAGE,"LIVER SAUSAGE,LIVERWURST,PORK",2.2,158,0,0.0,326,14.1,0.0,52.1,13.34,2.6,10.6,28.5
LOBSTER,"LOBSTER,NORTHERN,CKD,MOIST HEAT",1.28,72,81,0.0,98,20.5,0.0,76.03,0.16,0.091,0.107,0.59
LOGANBERRIES,"LOGANBERRIES,FROZEN",13.02,0,8,5.300000191,55,1.52,7.699999809,84.61,0.03,0.176,0.011,0.31
LOMA LINDA BIG FRANKS,"LOMA LINDA BIG FRANKS,CND,UNPREP",5.77,0,0,3.5,217,21.47,0.439999998,59.09,3.1,7.39,1.61,12.03
LOMA LINDA DINNER CUTS,"LOMA LINDA DINNER CUTS,CND,UNPREP",4.15,1,0,2.400000095,104,19.46,0.409999996,73.66,0.1,0.7,0.2,1.1
LOMA LINDA FRIED CHIK'N W/ GRAVY,"LOMA LINDA FRIED CHIK'N W/ GRAVY,CND,UNPREP",5.2,1,0,2.799999952,181,13.15,0.560000002,68.19,2.98,7.08,1.84,11.91
LOMA LINDA LINKETTS,"LOMA LINDA LINKETTS,CND,UNPREP",4.35,0,0,3.0,208,21.29,0.280000001,61.22,2.88,7.01,1.57,11.76
LOMA LINDA LITTLE LINKS,"LOMA LINDA LITTLE LINKS,CND,UNPREP",5.53,1,0,4.199999809,221,19.38,0.790000021,60.03,3.5,7.7,2.0,13.46
LOMA LINDA LOFAT BIG FRANKS,"LOMA LINDA LOFAT BIG FRANKS,CND,UNPREP",4.9,0,0,4.099999905,154,23.1,0.340000004,65.59,1.1,3.1,0.5,4.69
LOMA LINDA REDI-BURGER,"LOMA LINDA REDI-BURGER,CND,UNPREP",8.15,0,0,4.300000191,149,21.89,1.210000038,64.79,0.59,1.76,0.44,3.18
LOMA LINDA SWISS STAKE W/ GRAVY,"LOMA LINDA SWISS STAKE W/ GRAVY,CND,UNPREP",10.37,1,0,3.200000048,141,10.17,0.910000026,70.87,1.64,3.69,0.83,6.51
LOMA LINDA TENDER BITS,"LOMA LINDA TENDER BITS,CND,UNPREP",8.29,0,0,4.300000191,135,15.12,0.589999974,69.97,1.1,2.6,0.7,4.64
LOMA LINDA TENDER ROUNDS W/ GRAVY,"LOMA LINDA TENDER ROUNDS W/ GRAVY,CND,UNPREP",7.4,1,0,3.5,145,16.26,1.029999971,69.1,1.33,2.3,0.7,5.63
